78-102-04-01-102d11300400530,24700,皮,水牛皮,102,160mm,d,软坐感,200mm,1300,400mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11300400560,24700,皮,水牛皮,102,160mm,d,软坐感,200mm,1300,400mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11300400590,24700,皮,水牛皮,102,160mm,d,软坐感,200mm,1300,400mm,左转角,590mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11400380530,26600,皮,水牛皮,102,160mm,d,软坐感,200mm,1400,380mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11400380560,26600,皮,水牛皮,102,160mm,d,软坐感,200mm,1400,380mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11400380590,26600,皮,水牛皮,102,160mm,d,软坐感,200mm,1400,380mm,左转角,590mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11400400530,26600,皮,水牛皮,102,160mm,d,软坐感,200mm,1400,400mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11400400560,26600,皮,水牛皮,102,160mm,d,软坐感,200mm,1400,400mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11400400590,26600,皮,水牛皮,102,160mm,d,软坐感,200mm,1400,400mm,左转角,590mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11500380530,28500,皮,水牛皮,102,160mm,d,软坐感,200mm,1500,380mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11500380560,28500,皮,水牛皮,102,160mm,d,软坐感,200mm,1500,380mm,左转角,560mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11500380590,28500,皮,水牛皮,102,160mm,d,软坐感,200mm,1500,380mm,左转角,590mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
78-102-04-01-102d11500400530,28500,皮,水牛皮,102,160mm,d,软坐感,200mm,1500,400mm,左转角,530mm,http://wodi-hh.vip.ishopex.cn/public/images/ff/13/44/6e5c6aa96b5286d503b2035b66a7c8bf.jpg,,1,78-102,15天,180
